listPrice,rent,livingArea,rooms,published,constructionYear,objectType,soldDate,soldPrice,soldPriceSource,floor,additionalArea,apartmentNumber,location.address.streetAddress,location.position.latitude,location.position.longitude,location.position.isApproximate,location.region.municipalityName,location.region.countyName,location.distance.ocean,source.url,price_per_sqm
4995000,5263.0,95.0,4.0,2015-09-25 22:21:23,1936.0,Lägenhet,2015-10-15,5325000,bid,1.0,,1105.0,Åminnevägen 17,59.37119438,18.05355191,,Stockholm,Stockholms län,255,http://www.erikolsson.se/,56052.63157894737
4295000,3595.0,81.0,3.5,2016-01-05 09:27:24,1968.0,Lägenhet,2016-01-25,4530000,bid,3.0,,1304.0,Docentbacken 3,59.3709502,18.0586253,True,Stockholm,Stockholms län,264,http://www.svenskfast.se/,55925.92592592593
1850000,1860.0,36.0,1.5,2015-01-02 14:30:40,1935.0,Lägenhet,2015-01-06,2000000,bid,,,,Torphagsvägen 8,59.3718275,18.0525542,True,Stockholm,Stockholms län,225,http://www.fastighetsbyran.se/,55555.555555555555
2795000,2712.0,55.0,2.0,2015-09-16 17:15:32,1935.0,Lägenhet,2015-11-03,3050000,bid,2.0,,1303.0,Torphagsvägen 10,59.3723882,18.0524828,True,Stockholm,Stockholms län,181,http://www.notar.se/,55454.545454545456
2495000,2554.0,46.5,2.0,2014-09-12 16:39:43,1935.0,Lägenhet,2014-10-02,2575000,bid,1.0,,4602.0,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.notar.se/,55376.344086021505
2650000,2542.0,54.0,2.0,2015-03-05 18:16:29,1935.0,Lägenhet,2015-03-18,2975000,bid,,6.0,1001.0,Torphagsvägen 8,59.3718275,18.0525542,True,Stockholm,Stockholms län,225,http://www.fastighetsbyran.se/,55092.59259259259
3100000,2835.0,61.0,2.0,2015-07-28 22:58:14,1969.0,Lägenhet,2015-08-20,3355000,bid,6.0,,1602.0,Docentbacken 11,59.37142064,18.05760116,,Stockholm,Stockholms län,196,https://www.lansfast.se/,55000.0
2850000,3096.0,52.0,2.0,2017-04-12 18:40:30,1935.0,Lägenhet,2017-06-12,2850000,bid,1.0,0.0,1104.0,Torphagsvägen 6,59.3716443,18.0532349,True,Stockholm,Stockholms län,225,http://www.notar.se/,54807.692307692305
1650000,2034.0,33.0,1.0,2013-03-09 02:02:31,1937.0,Lägenhet,2013-03-26,1800000,bid,,,,Ekhagsvägen 10,59.3719665,18.0554221,True,Stockholm,Stockholms län,135,http://www.notar.se/,54545.454545454544
6995000,5967.0,121.0,4.0,2017-01-27 23:41:33,1935.0,Lägenhet,2017-02-15,6600000,bid,3.0,,1301.0,Torphagsvägen 10,59.3723882,18.0524828,True,Stockholm,Stockholms län,181,http://www.notar.se/,54545.454545454544
